235
-126 -778 13,192 193,stand,,,
933 -554 -25,2 169,stand,,,
831 -784 -38,168 1,stand,,,
-30 -682 -19,189 190,stand,,,
-604 3 106,139 138,stand,,,
172 -307 106,41 178,stand,,,
-336 -44 -22,121,stand,,,
-341 150 -22,121,stand,,,
757 94 -23,9 125,stand,,,
757 -70 -21,124 8,stand,,,
817 409 -24,11 88 90,stand,,,
817 217 -24,88 10,stand,,,
1123 -224 -24,84 86,stand,,,
1459 55 -24,80,stand,,,
1299 119 -24,80 81,stand,,,
1267 391 -23,78 79,stand,,,
1621 449 -24,79,stand,,,
889 1033 -24,71 40 99,stand,,,
369 921 7,97 100,stand,,,
65 745 7,103,stand,,,
-62 985 106,106 105 109,stand,,,
-1084 907 106,206 207 208,stand,,,
585 1393 37,68 67 70,stand,,,
1709 1249 38,46 49,stand,,,
1205 885 106,223 30,stand,,,
627 1015 106,217 218 219,stand,,,
-1191 -421 106,146 147,stand,,,
-1309 -612 11,156 157,stand,,,
-818 -655 13,155 156 196,stand,,,
955 851 106,223 217 224,stand,,,
1163 687 106,24 224,stand,,,
765 650 108,228 229,stand,,,
305 1129 106,214 215,stand,,,
899 1915 105,53 59,stand,,,
-266 745 106,110 42,stand,,,
-742 1021 106,129,stand,,,
-1036 359 106,133,stand,,,
-1071 -261 106,145 144,stand,,,
1478 1260 -24,48 75,stand,,,
1373 769 -24,74 75,stand,,,
1150 1028 -24,17 74,stand,,,
95 -292 106,142 5 178,stand,,,
-468 775 106,34 111 110,stand,,,
-130 649 -17,117 118,stand,,,
-628 559 106,112 127 111,stand,,,
1718 1909 72,46 50,stand,,,
1710 1597 63,45 23 49,stand,,,
1265 1585 36,48 49 52 57,stand,,,
1244 1299 -24,47 38 71,stand,,,
1516 1591 46,46 47 23,stand,,,
1536 1943 72,45 51,stand,,,
1400 1822 55,50 52,stand,,,
1278 1743 49,47 51 57,stand,,,
837 1718 105,54 33 60,stand,,,
819 1718 143,53 55,stand,,,
797 1720 106,54 56,stand,,,
535 1706 106,55 211,stand,,,
1077 1743 58,52 58 61 47,stand,,,
1022 1924 78,57 59,stand,,,
976 1927 105,58 33,stand,,,
911 1591 105,53 66,stand,,,
1082 1469 31,57 62,stand,,,
773 1483 33,61 63 67,stand,,,
697 1481 72,62 64,stand,,,
613 1567 72,63 65,stand,,,
664 1574 72,64 66,stand,,,
725 1590 105,65 60,stand,,,
776 1385 31,62 22 68,stand,,,
673 1312 36,22 67,stand,,,
497 1568 36,70,stand,,,
519 1443 38,69 22,stand,,,
930 1244 -24,48 72 73 17,stand,,,
806 1183 -24,71 73,stand,,,
810 1310 -24,72 71,stand,,,
1227 865 -24,40 39 75 77,stand,,,
1372 874 -24,39 74 38 76,stand,,,
1509 886 -24,75,stand,,,
1157 618 -24,74 78,stand,,,
1131 486 -24,77 15,stand,,,
1423 434 -23,15 16 80,stand,,,
1384 183 -23,79 13 14,stand,,,
1111 115 -24,14 83 84,stand,,,
1001 279 -3,83 89,stand,,,
1046 281 -24,82 81,stand,,,
1122 -85 -24,81 85 12,stand,,,
1198 -55 -24,84,stand,,,
885 -213 -24,12 87,stand,,,
915 13 -24,86 88,stand,,,
876 289 -24,87 89 11 10 90,stand,,,
958 279 -24,88 82,stand,,,
925 417 -24,88 10 91,stand,,,
905 585 -24,90 92 99,stand,,,
787 574 -27,91 93,stand,,,
778 663 -23,92 94,stand,,,
508 659 -14,93 95,stand,,,
391 695 -14,94 96 119,stand,,,
390 723 6,95 97,stand,,,
395 794 -24,96 98 18 100 101,stand,,,
722 810 -24,97 99,stand,,,
944 811 -24,98 17 91,stand,,,
446 890 -24,18 97,stand,,,
235 847 -24,97 102 104,stand,,,
233 754 -24,101 103,stand,,,
74 748 -24,102 19,stand,,,
3 850 106,101 105,stand,,,
-58 853 106,104 109 20 107,stand,,,
233 939 106,20 216 234,stand,,,
-53 757 106,108 105 233,stand,,,
-167 753 106,109 107,stand,,,
-162 846 106,108 105 20 110,stand,,,
-258 869 106,109 34 42,stand,,,
-646 756 106,42 112 44 128,stand,,,
-579 631 106,111 113 44,stand,,,
-556 630 126,112 114,stand,,,
-526 629 93,113 115,stand,,,
-435 610 59,114 116,stand,,,
-268 432 -18,115 117,stand,,,
-144 418 -23,116 43 120,stand,,,
149 655 -18,43 119,stand,,,
314 653 -18,118 95,stand,,,
-229 51 -24,117 121 122,stand,,,
-338 55 -22,120 7 6,stand,,,
57 34 -19,120 123,stand,,,
455 53 -17,122 124 125 126,stand,,,
645 -36 -11,123 9,stand,,,
651 87 -11,8 123,stand,,,
500 -351 -26,123 170 171 187,stand,,,
-645 274 106,44,stand,,,
-812 734 106,111 129 134 208,stand,,,
-817 1037 106,35 130 128,stand,,,
-855 1116 106,129,stand,,,
-1081 527 106,132 133 210,stand,,,
-1170 532 106,131,stand,,,
-1034 448 106,131 36,stand,,,
-771 483 106,128 135,stand,,,
-843 306 106,134 136 205,stand,,,
-806 188 106,135 137 197,stand,,,
-670 185 106,138 136,stand,,,
-662 77 106,137 139 139 197 4,stand,,,
-584 67 106,138 4 138 140,stand,,,
-401 36 106,139 141,stand,,,
-318 -35 106,140 142,stand,,,
-316 -241 106,141 143 41,stand,,,
-447 -244 106,142 177 204,stand,,,
-875 -262 106,37 147 204,stand,,,
-1058 -165 106,37 146 202 199,stand,,,
-1247 -200 106,145 26,stand,,,
-882 -428 106,26 144 148,stand,,,
-730 -425 106,147 149,stand,,,
-698 -421 94,148 150 152,stand,,,
-603 -427 94,149 151 152,stand,,,
-566 -423 106,150 177,stand,,,
-634 -532 94,150 149 153,stand,,,
-659 -701 6,152 154,stand,,,
-660 -771 9,153 155 194,stand,,,
-769 -769 13,154 28,stand,,,
-1088 -594 13,28 27,stand,,,
-1277 -774 8,27 158,stand,,,
-1225 -848 -11,159 160 157,stand,,,
-1057 -853 -21,158 160,stand,,,
-1149 -1118 -21,159 158 161,stand,,,
-874 -1187 -39,160 162,stand,,,
-695 -1192 -40,161 163,stand,,,
-468 -1129 -29,162 164,stand,,,
-344 -1111 -23,165 163 191,stand,,,
81 -1083 -21,164 166 190,stand,,,
369 -1071 -21,165 167,stand,,,
564 -899 -26,166 168,stand,,,
776 -884 -36,167 2 186,stand,,,
769 -547 -32,1 170 187,stand,,,
657 -356 -24,169 126,stand,,,
311 -349 -25,126 172,stand,,,
314 -450 -18,171 173 184,stand,,,
250 -438 -13,172 174,stand,,,
23 -457 107,173 175,stand,,,
-59 -467 106,174 176,stand,,,
-66 -539 106,175 177,stand,,,
-441 -455 106,176 151 143 183,stand,,,
151 -210 106,5 179 41,stand,,,
280 -214 106,180 182 178,stand,,,
287 -275 106,179 181,stand,,,
410 -217 106,180 182,stand,,,
348 -161 106,181 179,stand,,,
-496 -553 106,177,stand,,,
243 -581 -28,172 187 189,stand,,,
342 -772 -20,186 189,stand,,,
543 -766 -23,185 187 168,stand,,,
537 -590 -23,186 184 169 126,stand,,,
724 -965 -25,,stand,,,
196 -753 -28,185 184 3 190,stand,,,
63 -896 -23,3 189 165,stand,,,
-320 -1256 -19,164,stand,,,
-330 -769 5,0 193 194,stand,,,
-160 -705 15,192 0,stand,,,
-522 -769 6,192 195 154,stand,,,
-536 -662 8,194,stand,,,
-760 -584 13,28,stand,,,
-791 41 106,136 138 200 203,stand,,,
-1111 29 106,199,stand,,,
-1075 -92 106,198 200 145,stand,,,
-935 34 106,199 201 197,stand,,,
-909 139 106,200,stand,,,
-871 -179 106,145 203,stand,,,
-790 -178 106,202 197 204,stand,,,
-796 -258 106,203 144 143,stand,,,
-928 275 106,135,stand,,,
-971 952 106,21,stand,,,
-1160 947 106,21,stand,,,
-1034 737 106,21 209 210 128,stand,,,
-1018 614 106,208 210,stand,,,
-1079 618 106,209 131 208,stand,,,
363 1640 106,212 56 213,stand,,,
288 1654 106,211,stand,,,
342 1407 106,211 214,stand,,,
390 1231 106,32 213,stand,,,
365 1056 106,32 216,stand,,,
376 830 106,215 106 217 234,stand,,,
631 803 106,216 25 29,stand,,,
516 1007 106,25,stand,,,
909 1031 110,25 220,stand,,,
956 1025 126,219 221,stand,,,
994 1027 113,220 222,stand,,,
1154 1025 106,221 223,stand,,,
1148 859 106,29 24 222,stand,,,
878 672 106,30 29 225,stand,,,
861 593 106,224 226,stand,,,
842 593 144,225 227,stand,,,
820 598 111,226 228,stand,,,
766 586 108,227 31,stand,,,
274 672 108,31 230,stand,,,
72 645 108,229 231,stand,,,
75 687 108,230 232,stand,,,
73 720 144,231 233,stand,,,
72 739 106,232 234 107,stand,,,
233 747 106,233 106 216,stand,,,
